mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,target,fold,baseline,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
0.20988039867109634,0.2606762735680578,0.4423608825650685,0.49569905909627304,-0.053455149501661144,-0.043896883689523936,858.2005864261984,0.4488052076189122,258318.37651428572,-258.01418035121026,301,uplift_real,1,global_median,,,,,,,,,,,,
0.20325249169435217,0.254303749500409,0.4283913704126433,0.485579118333945,-0.03282392026578073,0.006517731871481192,835.0483483863312,0.4366974962462183,251349.5528642857,-182.00526461794018,301,uplift_real,1,hierarchical_sku_chain,,,,,,,,,,,,
0.2099169139465875,0.2609499991897899,0.4492668025733355,0.49737690491490805,-0.026243323442136497,-0.010217340940923858,887.2604307757524,0.46755460279812083,299006.76517142856,-135.1273825349724,337,uplift_real,2,global_median,,,,,,,,,,,,
0.19741097922848666,0.24908659994667925,0.422501444802205,0.4743045877422337,-0.019862017804154305,0.07954841795301171,805.0855031157269,0.4242513466972543,271313.81454999995,-95.8300318143281,337,uplift_real,2,hierarchical_sku_chain,,,,,,,,,,,,
0.1888,0.22910007076437675,0.42784156457726746,0.4758697583262913,0.0007151515151515205,-9.744283512302943e-06,782.6820640692641,0.4365813859484821,258285.08114285718,-11.820579653679642,330,uplift_real,3,global_median,,,,,,,,,,,,
0.17773636363636366,0.21964024994053208,0.40277014777783887,0.459419778544286,-0.0021393939393939475,0.08086851393793071,745.0249299567099,0.41557617252091095,245858.22688571428,0.99135441558436,330,uplift_real,3,hierarchical_sku_chain,,,,,,,,,,,,
0.19307865168539323,0.23848545994827772,0.44801334862863695,0.49354180607294984,0.009033707865168543,-0.0014369176180504262,843.3381246388443,0.47070803070174355,300228.3723714286,54.139320144462296,356,uplift_real,4,global_median,,,,,,,,,,,,
0.18515168539325838,0.2293756915306601,0.4296198769423297,0.477367137713134,0.020870786516853933,0.07360848771029382,787.5253724919742,0.43955621877298906,280359.0326071428,127.19394203451044,356,uplift_real,4,hierarchical_sku_chain,,,,,,,,,,,,
0.7167043189368771,1.0985119805575958,,,-0.1273887043189369,-0.013631140352958537,,,,,301,roi,1,global_median,0.526,,0.5581395348837209,0.5581395348837209,1.0,0.7164179104477612,0.0,0.0,0.0,133.0,0.0,0.4418604651162791
0.7992425249169435,1.1681198995256326,,,-0.10178737541528238,-0.14615985674820098,,,,,301,roi,1,hierarchical_sku_chain,0.556,-0.05541600498119017,0.4850498338870432,0.5326633165829145,0.6309523809523809,0.5776566757493188,0.39215686274509803,0.3007518796992481,0.3404255319148936,93.0,62.0,0.3089700996677741
0.2240531561461794,0.5312004035867858,,,0.01277740863787376,0.7629788279220786,,,,,301,roi,1,roi_discount_band,0.10899999999999999,0.9601630627302892,0.9003322259136213,0.8484848484848485,1.0,0.9180327868852459,1.0,0.7744360902255639,0.8728813559322034,30.0,0.0,0.09966777408637874
0.7683946587537093,1.2403888868030264,,,-0.2863412462908012,-0.05629054877425088,,,,,337,roi,2,global_median,0.5519999999999999,,0.5786350148367952,0.5786350148367952,1.0,0.7330827067669173,0.0,0.0,0.0,140.0,0.0,0.41543026706231456
0.7900875370919881,1.273358154201874,,,-0.2861943620178042,-0.11318874911812826,,,,,337,roi,2,hierarchical_sku_chain,0.516,-0.036705365687391536,0.49258160237388726,0.5633187772925764,0.6615384615384615,0.6084905660377359,0.37755102040816324,0.2642857142857143,0.31092436974789917,99.0,60.0,0.29376854599406527
0.22981305637982197,0.6674193679836119,,,-0.027872403560830872,0.6941804312106636,,,,,337,roi,2,roi_discount_band,0.11699999999999999,0.9645854127967547,0.8931750741839762,0.8471615720524017,0.9948717948717949,0.9150943396226415,0.9907407407407407,0.7642857142857142,0.8629032258064516,33.0,1.0,0.09792284866468842
0.8059060606060605,1.6428341244952458,,,-0.3180151515151515,-0.038930938450701946,,,,,330,roi,3,global_median,0.528,,0.6,0.6,1.0,0.75,0.0,0.0,0.0,132.0,0.0,0.4
0.8321909090909091,1.6629455019405306,,,-0.29043030303030304,-0.06452357118025098,,,,,330,roi,3,hierarchical_sku_chain,0.5615000000000001,-0.048398472415250464,0.5515151515151515,0.6007326007326007,0.8282828282828283,0.6963906581740976,0.42857142857142855,0.13636363636363635,0.20689655172413793,109.0,24.0,0.3303030303030303
0.2837227272727273,1.2826030630807967,,,-0.047001515151515176,0.3667374662733651,,,,,330,roi,3,roi_discount_band,0.11099999999999999,0.9552031513773808,0.9,0.8602620087336245,0.9949494949494949,0.9227166276346604,0.9900990099009901,0.7575757575757576,0.8583690987124464,32.0,1.0,0.09696969696969697
0.9010112359550562,1.9484883956775025,,,-0.4052808988764045,-0.04521932277316543,,,,,356,roi,4,global_median,0.57,,0.5870786516853933,0.5870786516853933,1.0,0.7398230088495575,0.0,0.0,0.0,147.0,0.0,0.41292134831460675
0.9141390449438201,1.9622150292276752,,,-0.4035266853932585,-0.059997834618076284,,,,,356,roi,4,hierarchical_sku_chain,0.5695,-0.08687747877792497,0.5617977528089888,0.5916398713826366,0.8803827751196173,0.7076923076923077,0.42105263157894735,0.10884353741496598,0.17297297297297298,127.0,22.0,0.35674157303370785
0.3246362359550562,1.46977590993367,,,-0.12727949438202243,0.40527796162312846,,,,,356,roi,4,roi_discount_band,0.12,0.9595188745941186,0.8932584269662921,0.8489795918367347,0.9952153110047847,0.9162995594713657,0.990990990990991,0.7482993197278912,0.8527131782945736,37.0,1.0,0.10393258426966293
