variable,tipo,n_valores_unicos,frecuencia_categoria_dominante,proporcion_dominante,clasificacion
row_id,string,2062,1,0.00048496605237633366,alta_cardinalidad
fecha_inicio_tanda,datetime64[us],78,34,0.016488845780795344,alta_cardinalidad
id_material,string,15,168,0.08147429679922405,baja_cardinalidad
des_material,string,15,168,0.08147429679922405,baja_cardinalidad
des_marca,category,6,765,0.37099903006789525,baja_cardinalidad
subcadena,category,3,695,0.3370514064015519,baja_cardinalidad
precio_base,float64,15,168,0.08147429679922405,baja_cardinalidad
factor_descuento,float64,330,17,0.008244422890397672,alta_cardinalidad
duracion_dias,int64,6,619,0.3001939864209505,baja_cardinalidad
volumen_base_sem,float64,1995,3,0.001454898157129001,alta_cardinalidad
volumen_promo,float64,2035,2,0.0009699321047526673,alta_cardinalidad
venta_promo,float64,2060,2,0.0009699321047526673,alta_cardinalidad
inversion_promo,float64,2061,2,0.0009699321047526673,alta_cardinalidad
uplift_real,float64,792,127,0.06159068865179437,alta_cardinalidad
elasticidad_estimada,float64,1318,6,0.002909796314258002,alta_cardinalidad
flag_secundario,category,3,1389,0.6736178467507274,baja_cardinalidad
roi,float64,360,17,0.008244422890397672,alta_cardinalidad
flag_secundario_missing,bool,2,2002,0.9709020368574199,casi_constante
flag_descuento_fuera_dominio,bool,2,2052,0.9951503394762367,casi_constante
flag_duracion_fuera_dominio,bool,2,2058,0.9980601357904947,casi_constante
flag_fuera_dominio_optimizacion,bool,2,2048,0.9932104752667313,casi_constante
flag_uplift_en_piso,bool,2,1935,0.9384093113482056,baja_cardinalidad
flag_roi_extremo_descriptivo,bool,2,2041,0.989815712900097,casi_constante
flag_uplift_extremo_descriptivo,bool,2,2041,0.989815712900097,casi_constante
audit_volumen_base_tanda,float64,2034,2,0.0009699321047526673,alta_cardinalidad
audit_volumen_incremental_observado,float64,2051,2,0.0009699321047526673,alta_cardinalidad
audit_uplift_recalculado,float64,2050,12,0.005819592628516004,alta_cardinalidad
audit_venta_promo_recalculada,float64,2062,1,0.00048496605237633366,alta_cardinalidad
audit_inversion_promo_recalculada,float64,2062,1,0.00048496605237633366,alta_cardinalidad
audit_diff_abs_uplift_real,float64,2050,12,0.005819592628516004,alta_cardinalidad
audit_diff_rel_uplift_real,float64,2050,12,0.005819592628516004,alta_cardinalidad
audit_diff_abs_venta_promo,float64,1975,4,0.0019398642095053346,alta_cardinalidad
audit_diff_rel_venta_promo,float64,2061,2,0.0009699321047526673,alta_cardinalidad
audit_diff_abs_inversion_promo,float64,1829,6,0.002909796314258002,alta_cardinalidad
audit_diff_rel_inversion_promo,float64,2058,5,0.0024248302618816685,alta_cardinalidad
flag_inconsistencia_uplift,bool,1,2062,1.0,constante
flag_inconsistencia_venta,bool,1,2062,1.0,constante
flag_inconsistencia_inversion,bool,1,2062,1.0,constante
banda_descuento_opt,object,8,486,0.23569350145489815,baja_cardinalidad
