banda_descuento_opt,subcadena,observaciones,uplift_medio,uplift_mediano,uplift_std,uplift_q25,uplift_q75
"[10%,15%)",Cadena01,109,0.3003577981651376,0.29,0.18428442805819667,0.167,0.424
"[10%,15%)",Cadena02,119,0.2693193277310924,0.263,0.16448197741533715,0.1395,0.3835
"[10%,15%)",Cadena03,112,0.24707142857142858,0.226,0.15290789280093978,0.11424999999999999,0.356
"[15%,20%)",Cadena01,148,0.38079729729729733,0.364,0.18365276906293151,0.25025,0.5235000000000001
"[15%,20%)",Cadena02,165,0.40315757575757577,0.395,0.2071005397266333,0.238,0.54
"[15%,20%)",Cadena03,162,0.318037037037037,0.308,0.1714705446660176,0.184,0.4305
"[20%,25%)",Cadena01,174,0.4487931034482759,0.4625,0.19050627030968606,0.31425000000000003,0.564
"[20%,25%)",Cadena02,143,0.4802797202797203,0.478,0.20713112148406174,0.3615,0.6094999999999999
"[20%,25%)",Cadena03,169,0.4288579881656805,0.439,0.194847782343099,0.306,0.562
"[25%,30%)",Cadena01,129,0.5574108527131784,0.564,0.22648305029029972,0.395,0.739
"[25%,30%)",Cadena02,119,0.6083445378151261,0.606,0.18712360806292713,0.462,0.7135
"[25%,30%)",Cadena03,120,0.52845,0.522,0.23529598203042876,0.3695,0.66525
"[30%,35%)",Cadena01,74,0.6788918918918919,0.6875,0.2256762481397941,0.533,0.8525
"[30%,35%)",Cadena02,72,0.7348750000000001,0.721,0.23667728890729473,0.60475,0.88875
"[30%,35%)",Cadena03,61,0.6202950819672132,0.6,0.24006397371411192,0.474,0.809
"[35%,40%]",Cadena01,25,0.7436,0.751,0.171567770866209,0.648,0.844
"[35%,40%]",Cadena02,26,0.8186153846153845,0.798,0.28017110156803504,0.60775,1.0334999999999999
"[35%,40%]",Cadena03,33,0.6923939393939395,0.73,0.23323311023977963,0.519,0.855
"[5%,10%)",Cadena01,28,0.16999999999999998,0.178,0.11500628002176425,0.05,0.2675
"[5%,10%)",Cadena02,34,0.18855882352941175,0.1565,0.147541096725002,0.051750000000000004,0.25875000000000004
"[5%,10%)",Cadena03,26,0.19565384615384615,0.178,0.13186263831963696,0.08225,0.3005
