mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,target,candidate_id,modelo,familia,feature_set,target_transform,mae_fold_std,tiempo_entrenamiento_seg,params,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
0.1390428919625101,0.17440351816845606,0.30716944029627474,0.38137188694116586,-0.0014065162752312202,0.4983194972643624,578.2591473734185,0.31319752445974347,765615.1111224061,18.648455191047415,1324,uplift_real,uplift_real__ridge__base__original__alpha10.0,ridge,ridge,base,original,0.00224860116714293,0.3117778000003,"{""alpha"": 10.0}",,,,,,,,,,,,
0.1380600325921129,0.17236572276591908,0.3049981364746004,0.3789761586554884,-0.0016068540661792945,0.5099746477641989,573.7540011714977,0.31075744090174034,759650.297551063,18.68738125839417,1324,uplift_real,uplift_real__ridge__interactions__original__alpha10.0,ridge,ridge,interactions,original,0.0018163700721122225,0.07278719999999339,"{""alpha"": 10.0}",,,,,,,,,,,,
0.13826860859900805,0.1724864672523656,0.30545891641374673,0.37918701925767845,-0.001715532833763171,0.5092878687168471,574.7845487463911,0.3113156075139949,761014.7425402219,18.2246060038776,1324,uplift_real,uplift_real__ridge__nonlinear__original__alpha10.0,ridge,ridge,nonlinear,original,0.0017745225222620393,0.07419079999999667,"{""alpha"": 10.0}",,,,,,,,,,,,
0.13885614988910075,0.1726531418222734,0.3067568952365505,0.379040689080128,0.014967268833748711,0.5083390551500282,576.9951796475976,0.3125129325003733,763941.6178534193,84.16404470950575,1324,uplift_real,uplift_real__ridge__temporal_monthly__original__alpha10.0,ridge,ridge,temporal_monthly,original,0.0015727961783462301,0.07304710000016712,"{""alpha"": 10.0}",,,,,,,,,,,,
0.1379278183086766,0.17201124439202795,0.30470605259408634,0.3774789355349212,0.007096115565119382,0.5119880965238024,572.5122089702876,0.31008485968088284,758006.1646766608,52.68161822267241,1324,uplift_real,uplift_real__ridge__temporal_weekly__original__alpha10.0,ridge,ridge,temporal_weekly,original,0.001144986613562427,0.07395929999984219,"{""alpha"": 10.0}",,,,,,,,,,,,
0.14203126613956002,0.1756879208024529,0.3137712680517544,0.38651225064025885,0.02603294015535723,0.49090299014005145,586.7439851170516,0.3177930940911434,776849.0362949764,121.0397053880059,1324,uplift_real,uplift_real__ridge__extended__original__alpha10.0,ridge,ridge,extended,original,0.007734146747524719,0.0996216999999433,"{""alpha"": 10.0}",,,,,,,,,,,,
0.4204273173604927,1.1544048892919534,,,0.004851213808159621,0.4137360885381317,,,,,1324,roi,roi__ridge__base__original__alpha10.0,ridge,ridge,base,original,0.03873092475035971,0.07385330000033719,"{""alpha"": 10.0}",0.28967941298197153,0.9724631982001657,0.8882175226586103,0.8410087719298246,0.9961038961038962,0.9120095124851367,0.9927184466019418,0.7409420289855072,0.8485477178423236,143.0,3.0,0.10800604229607251
0.42022513235030573,1.1571025110778843,,,0.00379922921726424,0.4109929155555587,,,,,1324,roi,roi__ridge__interactions__original__alpha10.0,ridge,ridge,interactions,original,0.03607661466237363,0.07325420000006488,"{""alpha"": 10.0}",0.28866508260922663,0.9715735331932506,0.8882175226586103,0.8410087719298246,0.9961038961038962,0.9120095124851367,0.9927184466019418,0.7409420289855072,0.8485477178423236,143.0,3.0,0.10800604229607251
0.29524543030938377,1.0952831155827942,,,0.0026385986587882802,0.4722483109517993,,,,,1324,roi,roi__ridge__nonlinear__original__alpha10.0,ridge,ridge,nonlinear,original,0.028443542860907597,0.08118260000014743,"{""alpha"": 10.0}",0.16294916576668395,0.9701782281154119,0.9418429003021148,0.9129916567342073,0.9948051948051948,0.9521441889372281,0.9917525773195877,0.8713768115942029,0.9276759884281581,71.0,4.0,0.05362537764350453
0.3105868944169803,1.0976629621962253,,,0.039704213449795696,0.46995240673379257,,,,,1324,roi,roi__ridge__temporal_monthly__original__alpha10.0,ridge,ridge,temporal_monthly,original,0.022814826847123635,0.07555000000024847,"{""alpha"": 10.0}",0.17982381569563574,0.9691829503051602,0.926737160120846,0.8917345750873108,0.9948051948051948,0.9404542664211173,0.9913978494623656,0.8351449275362319,0.9065880039331367,91.0,4.0,0.06873111782477341
0.29952548847473753,1.0958261084620913,,,-0.0021325495275076878,0.4717249093977465,,,,,1324,roi,roi__ridge__temporal_weekly__original__alpha10.0,ridge,ridge,temporal_weekly,original,0.015981560190926853,0.07681709999974373,"{""alpha"": 10.0}",0.1690877836737768,0.9699348323933314,0.9418429003021148,0.9149700598802395,0.9922077922077922,0.9520249221183801,0.9877300613496932,0.875,0.9279538904899135,69.0,6.0,0.05211480362537765
0.30949741165228145,1.1086847200330723,,,-0.08545667908237603,0.45925442968529495,,,,,1324,roi,roi__ridge__extended__original__alpha10.0,ridge,ridge,extended,original,0.03785431875550595,0.10045050000007905,"{""alpha"": 10.0}",0.1635778905784136,0.9597238480101374,0.9395770392749244,0.9389312977099237,0.9584415584415584,0.9485861182519281,0.9405204460966543,0.9166666666666666,0.9284403669724771,46.0,32.0,0.03474320241691843
