id_material,observaciones,registros_en_piso,pct_en_piso
PD014,38,8,0.21052631578947367
PD015,39,7,0.1794871794871795
PD013,152,16,0.10526315789473684
PD012,155,16,0.1032258064516129
PD004,166,16,0.0963855421686747
PD005,161,13,0.08074534161490683
PD002,143,10,0.06993006993006994
PD001,152,8,0.05263157894736842
PD011,152,8,0.05263157894736842
PD003,143,7,0.04895104895104895
PD007,141,5,0.03546099290780142
PD009,145,4,0.027586206896551724
PD008,168,4,0.023809523809523808
PD006,139,3,0.02158273381294964
PD010,168,2,0.011904761904761904
