mes,observaciones,registros_en_piso,pct_en_piso
2024-09,137,15,0.10948905109489052
2025-10,123,13,0.10569105691056911
2025-12,114,11,0.09649122807017543
2025-07,109,8,0.07339449541284404
2024-10,99,7,0.0707070707070707
2025-09,129,9,0.06976744186046512
2025-06,133,8,0.06015037593984962
2024-08,101,6,0.0594059405940594
2025-01,101,6,0.0594059405940594
2024-12,106,6,0.05660377358490566
2024-07,130,7,0.05384615384615385
2025-02,99,5,0.050505050505050504
2025-05,106,5,0.04716981132075472
2025-04,93,4,0.043010752688172046
2025-08,120,5,0.041666666666666664
2025-11,123,5,0.04065040650406504
2024-11,99,4,0.04040404040404041
2025-03,140,3,0.02142857142857143
